Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
1206	-8116.493	-8376.777	260.2835	0.9480169	1.741088	0.5983328	6.341581
1212	-8116.607	-8374.797	258.1903	0.8432719	2.053414	0.4638779	7.538213
1218	-8115.376	-8373.414	258.0372	0.861585	1.527252	0.541565	7.722785
1224	-8116.516	-8374.141	257.6244	0.8001811	1.506336	0.541565	7.984187
1230	-8111.491	-8369.518	258.027	0.8146905	1.822372	0.5674756	7.625455
1236	-8104.833	-8363.374	258.5411	0.8188356	1.76496	0.5674756	7.367461
1242	-8101.071	-8360.061	258.9896	0.8733934	1.76496	0.5674756	7.097244
1248	-8120.84	-8381.404	260.5641	0.9153686	1.764729	0.5674756	6.223406
1254	-8107.989	-8367.342	259.3527	0.9037648	1.641342	0.5674756	6.929695
1260	-8111.706	-8371.091	259.385	0.8939984	1.641342	0.5527266	6.929695
1266	-8114.517	-8372.988	258.4717	0.8732909	1.943788	0.5651957	7.317593
1272	-8112.68	-8370.29	257.6096	0.7778257	1.497691	0.5651957	7.987943
1278	-8123.107	-8381.359	258.2514	0.8802985	1.721755	0.4760523	7.583608
1284	-8114.139	-8371.729	257.59	0.8255277	1.697522	0.5556471	7.906085
1290	-8119.374	-8377.982	258.6084	0.8888887	1.553396	0.5556471	7.380575
1296	-8122.637	-8381.057	258.4202	0.9061619	1.788036	0.6503769	7.313485
1302	-8109.004	-8367.009	258.0046	0.8040994	1.548484	0.5830369	7.729046
1308	-8123.963	-8383.394	259.4314	0.9072063	1.548484	0.6426472	6.861892
1314	-8116.744	-8377.539	260.7953	1.01194	1.641156	0.6426472	6.030535
1320	-8101.422	-8360.149	258.7265	0.9138783	1.646395	0.518261	7.300477
1326	-8120.382	-8378.801	258.419	0.8013614	1.546879	0.6945906	7.426115
1332	-8114.663	-8372.118	257.4552	0.8178954	1.566096	0.5942811	7.999444
1338	-8122.223	-8380.182	257.9584	0.730514	1.566096	0.5057009	7.850737
1344	-8120.917	-8378.585	257.6684	0.7814392	1.65155	0.5360681	7.920571
1350	-8126.129	-8383.383	257.2534	0.8446127	1.65155	0.4123417	8.221575
1356	-8112.807	-8371.001	258.1936	0.7881912	1.441746	0.605852	7.660641
